date,estimate_adj,confint_lower_adj,confint_upper_adj,n_adj,estimate_unadj,confint_lower_unadj,confint_upper_unadj,n_unadj
26/04/2020,1.08E-07,NA,3.94E+117,259,4.91E-07,NA,9.31E+28,259
03/05/2020,NA,NA,NA,NA,4.44E-07,NA,8.22592E+16,822
10/05/2020,0.746780026,0.221825775,2.092250546,1139,1.42725468,0.686200615,2.737368785,1139
17/05/2020,0.685756307,0.206239718,1.895638583,1207,1.388809182,0.668561355,2.659218704,1207
24/05/2020,0.668235823,0.198289774,1.860987096,1199,1.413235294,0.679370661,2.711737798,1199
31/05/2020,0.590227337,0.178562391,1.597716279,1277,1.299574468,0.648282175,2.41503604,1277
07/06/2020,0.547625519,0.167170254,1.446935985,1392,1.07549026,0.556698754,1.930601706,1392
14/06/2020,0.387478747,0.095793987,1.145773249,1299,0.961853716,0.485785283,1.755101123,1299
21/06/2020,0.343123649,0.064227115,1.186897266,1158,1.026396566,0.500515937,1.927127639,1158
28/06/2020,0.344729356,0.064789263,1.204349614,1055,0.818293582,0.353080426,1.666349388,1055
05/07/2020,0.187887962,0.021583173,0.811049555,1014,0.667397263,0.252558863,1.468459704,1014
12/07/2020,0.140174585,0.007054505,0.780854304,900,0.792224464,0.297186459,1.768906766,900
19/07/2020,0.095165198,0.004844998,0.524511913,830,0.630392157,0.237329015,1.398925353,830
26/07/2020,0.08723008,0.004467404,0.478123595,738,0.538587312,0.202556775,1.197229261,738
02/08/2020,0.092585116,0.004696275,0.516662286,707,0.419580423,0.143118977,0.984915474,707
09/08/2020,0.11107352,0.005728907,0.61461823,646,0.419384059,0.142578933,0.990218489,646
16/08/2020,0.196628795,0.028812354,0.771215826,578,0.33834587,0.099848927,0.864756543,578
23/08/2020,0.250450965,0.037577044,0.96924897,525,0.338068182,0.099274323,0.872258279,525
30/08/2020,0.251629576,0.036975539,1.014221862,488,0.354416576,0.103443588,0.92523406,488
06/09/2020,0.23630683,0.034625079,0.955566695,466,0.373740458,0.10847294,0.986407148,466
13/09/2020,0.22363249,0.032320335,0.927562751,434,0.357881137,0.103591659,0.949351743,434
20/09/2020,0.166385308,0.023579597,0.712346011,403,0.332996293,0.096108419,0.888082938,403
27/09/2020,0.168036215,0.023318788,0.749985189,365,0.3328125,0.095199963,0.903109761,365
04/10/2020,0.184413617,0.025151064,0.847410633,343,0.332767402,0.094800668,0.909996744,343
11/10/2020,0.179862088,0.024842277,0.815544456,320,0.320582878,0.090921923,0.884156486,320
18/10/2020,0.166646727,0.022860406,0.763354101,318,0.321395776,0.091140493,0.886581081,318
25/10/2020,0.164835326,0.022553882,0.757327715,314,0.318518519,0.090304475,0.878945411,314
01/11/2020,0.162132987,0.022131754,0.748930159,303,0.316091954,0.089553575,0.873201547,303
08/11/2020,0.163762959,0.022087989,0.772122107,298,0.315789474,0.089436913,0.872835965,298
15/11/2020,0.159576336,0.020991776,0.767624714,282,0.349579832,0.098493258,0.975794153,282
22/11/2020,0.167247675,0.022121994,0.805227214,268,0.293814433,0.067084082,0.910527979,268
29/11/2020,0.214658572,0.027988239,1.074715712,237,0.333887043,0.075378476,1.059469171,237
06/12/2020,0.109479604,0.005316067,0.744979865,221,0.252895753,0.039027161,0.937931594,221
13/12/2020,0.138171026,0.006744492,0.949009163,191,0.295739348,0.045460136,1.105874408,191
20/12/2020,0.083849498,0.003287037,0.698298201,165,0.300595238,0.046031486,1.132905469,165
27/12/2020,4.44E-15,NA,4.29E+113,131,0.146616541,0.007944736,0.771228262,131
03/01/2021,2.91E-10,NA,Inf,58,0.299145304,0.015446139,1.832955459,58
10/01/2021,9.09E-11,NA,Inf,40,0.510204082,0.025104987,3.624993266,40
17/01/2021,NA,NA,NA,NA,3.24E-08,NA,1.09E+123,23
24/01/2021,NA,NA,NA,NA,7.95E-09,NA,Inf,10